Idiom_from_diff,Matched_Idiom,Similarity_Score
원숭이도 나무에서 떨어질 때가 있다,원숭이도 나무에서 떨어진다,0.7878787878787878
웬 떡이야,웬 떡이냐,0.8
윗 물이 맑아야 아랫물이 맑다,윗물이 맑아야 아랫물이 맑다,0.967741935483871
입 바른 소리,입에 침 바른 소리,0.8235294117647058
입에 발린 소리,입에 발린[붙은] 소리,0.8
입은 삐뚤어져도 말은 바로 해라,입은 비뚤어져도 말은 바로 해라[하랬다],0.8205128205128205
입이 닳도록,손이 닳도록,0.8333333333333334
입이 무겁다,말이 무겁다,0.8333333333333334
입이 가볍다,붓이 가볍다,0.8333333333333334
입이 싸다,입이 높다,0.8
입이 짧다,글이 짧다,0.8
자다가 봉창 두드리는 소리,자다가 봉창 두드린다,0.72
잘 나가다,붓이 나가다,0.7272727272727273
절이 싫으면 중이 떠나야지,중절 보기 싫으면 떠나야지,0.7142857142857143
정신 사납다,몽 사납다,0.7272727272727273
정신을 차리다,정신차리다,0.8333333333333334
정신이 나가다,붓이 나가다,0.7692307692307693
제 눈에 안경이다,제 눈에 안경,0.875
제 얼굴에 침 뱉기,내 얼굴에 침 뱉기,0.9
주가를 올리다,개가를 올리다,0.8571428571428571
쥐뿔도 없으면서,쥐뿔도 없다,0.7142857142857143
지렁이도 밟으면 꿈틀한다,벌레도 밟으면 꿈틀한다,0.8
짚신도 짝이 있다,짚신도 제짝이 있다,0.9473684210526315
초를 치다,난초를 치다,0.9090909090909091
초읽기에 들어가다,귀에 들어가다,0.75
총대를 메다,총대메다,0.8
치를 떨다,치를 틀다,0.8
침이 마르도록,침이 마르다,0.7692307692307693
입에 침이 마르도록,입에 침이 마르다,0.8421052631578947
칼자루를 잡다,칼자루를 휘두르다,0.75
칼자루를 쥐다,도낏자루를 쥐다,0.8
코빼기도 안 보이다,코빼기도 못 보다,0.8421052631578947
콩밥을 먹다,콩밥먹다,0.8
털어서 먼지 안 나는 사람 없다,주머니 털어 먼지 안 나오는 사람 없다,0.8421052631578947
토를 달다,뒤를 달다,0.8
파김치가 되다,파김치되다,0.8333333333333334
파리 날리다,파리날리다,0.9090909090909091
팔이 안으로 굽다,잔 잡은 팔이 안으로 굽는다,0.75
하나를 보면 열을 안다,하나를 보고 열을 안다,0.9166666666666666
하늘을 봐야 별을 딴다,하늘을 보아야 별을 따지,0.72
하루가 멀다 하고,하루가 멀다고[멀다 하고],0.782608695652174
한 귀로 듣고 한 귀로 흘리다,한 귀로 듣고 한 귀로 흘린다,0.9375
한눈 팔다,한눈 붙이다,0.7272727272727273
한 배를 타다,한배를 타다,0.9230769230769231
